Date,AAPL,JPM,MS,NVDA
2025-08-15,231.58999633789062,289.08453369140625,143.7548370361328,180.4398193359375
2025-08-18,230.88999938964844,290.1195068359375,143.9039306640625,181.99972534179688
2025-08-19,230.55999755859375,289.25372314453125,143.19822692871094,175.63009643554688
2025-08-20,226.00999450683594,290.8260803222656,143.24790954589844,175.39010620117188
2025-08-21,224.89999389648438,290.059814453125,143.16839599609375,174.97012329101562
2025-08-22,227.75999450683594,294.80670166015625,147.12432861328125,177.97996520996094
2025-08-25,227.16000366210938,293.47320556640625,146.75656127929688,179.79986572265625
2025-08-26,229.30999755859375,297.1254577636719,148.06857299804688,181.75975036621094
2025-08-27,230.49000549316406,297.8320007324219,148.47608947753906,181.5897674560547
2025-08-28,232.55999755859375,299.6133728027344,149.271240234375,180.1598358154297
2025-08-29,232.13999938964844,299.961669921875,149.56942749023438,174.170166015625
2025-09-02,229.72000122070312,298.25,147.94931030273438,170.77037048339844
2025-09-03,238.47000122070312,298.0609130859375,147.63124084472656,170.61038208007812
2025-09-04,239.77999877929688,302.3500671386719,149.61912536621094,171.65032958984375
2025-09-05,239.69000244140625,292.9557189941406,147.1938934326172,167.01058959960938
2025-09-08,237.8800048828125,291.4928283691406,147.8896484375,168.30050659179688
2025-09-09,234.35000610351562,296.408935546875,151.2989044189453,170.7503662109375
2025-09-10,226.7899932861328,299.0859375,153.18740844726562,177.32000732421875
2025-09-11,230.02999877929688,304.0816345214844,155.5331268310547,177.1699981689453
2025-09-12,234.07000732421875,305.42510986328125,155.4436798095703,177.82000732421875
2025-09-15,236.6999969482422,307.40545654296875,155.69215393066406,177.75
2025-09-16,238.14999389648438,307.6940612792969,154.8671875,174.8800048828125
2025-09-17,238.99000549316406,310.2416687011719,156.45750427246094,170.2899932861328
2025-09-18,237.8800048828125,311.71453857421875,158.27642822265625,176.24000549316406
2025-09-19,245.5,313.25701904296875,158.9423828125,176.6699981689453
2025-09-22,256.0799865722656,310.9283447265625,159.73753356933594,183.61000061035156
2025-09-23,254.42999267578125,311.22686767578125,159.7872314453125,178.42999267578125
2025-09-24,252.30999755859375,311.90362548828125,156.92466735839844,176.97000122070312
2025-09-25,256.8699951171875,311.9334716796875,157.98817443847656,177.69000244140625
2025-09-26,255.4600067138672,314.53082275390625,159.1411590576172,178.19000244140625
2025-09-29,254.42999267578125,314.1626281738281,160.184814453125,181.85000610351562
2025-09-30,254.6300048828125,313.90386962890625,157.9981231689453,186.5800018310547
2025-10-01,255.4499969482422,309.2066955566406,155.94064331054688,187.24000549316406
2025-10-02,257.1300048828125,306.0619812011719,154.3602752685547,188.88999938964844
2025-10-03,258.0199890136719,308.5299987792969,156.63641357421875,187.6199951171875
2025-10-06,256.69000244140625,309.17999267578125,157.1333770751953,185.5399932861328
2025-10-07,256.4800109863281,307.69000244140625,155.02621459960938,185.0399932861328
2025-10-08,258.05999755859375,304.0299987792969,154.70814514160156,189.11000061035156
2025-10-09,254.0399932861328,305.5299987792969,155.32440185546875,192.57000732421875
2025-10-10,245.27000427246094,300.8900146484375,150.9410858154297,183.16000366210938
2025-10-13,247.66000366210938,307.9700012207031,154.19129943847656,188.32000732421875
2025-10-14,247.77000427246094,302.0799865722656,154.4000244140625,180.02999877929688
2025-10-15,249.33999633789062,305.69000244140625,161.66578674316406,179.8300018310547
2025-10-16,247.4499969482422,298.5400085449219,159.0517120361328,181.80999755859375
2025-10-17,252.2899932861328,297.55999755859375,157.70986938476562,183.22000122070312
2025-10-20,262.239990234375,302.3599853515625,160.9899139404297,182.63999938964844
2025-10-21,262.7699890136719,297.0899963378906,158.2664794921875,181.16000366210938
2025-10-22,258.45001220703125,294.1099853515625,157.1632080078125,180.27999877929688
2025-10-23,259.5799865722656,294.5400085449219,158.34600830078125,182.16000366210938
2025-10-24,262.82000732421875,300.44000244140625,162.86846923828125,186.25999450683594
2025-10-27,268.80999755859375,304.1499938964844,165.01541137695312,191.49000549316406
2025-10-28,269.0,305.3599853515625,164.21031188964844,201.02999877929688
2025-10-29,269.70001220703125,305.510009765625,163.03744506835938,207.0399932861328
2025-10-30,271.3999938964844,309.44000244140625,164.25999450683594,202.88999938964844
2025-10-31,270.3699951171875,311.1199951171875,164.0,202.49000549316406
2025-11-03,269.04998779296875,309.3500061035156,163.64999389648438,206.8800048828125
2025-11-04,270.0400085449219,309.25,164.00999450683594,198.69000244140625
